objectid,filename,youtubeid,vimeoid,title,metadata creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,color,shape
coll001,2009_inauguration.jpg,,,US Presidential Inauguration,"ODonoghue, Ling ",2009,"A gold pin of the white house obtained in Washington, DC for President Barack Obama's 2009 Inauguration",White House; inauguaration; president; DC,"Washington DC, USA",38.92314175,-77.01423268,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,gold,circle
coll002,bordeaux.jpg,,,Bordeux,"ODonoghue, Ling ",2008,A silver pin of Bordeaux's city flag during a French school exchange in 8th grade,France; flag,"Bordeaux, France",44.84909388,-0.584641238,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,red; yellow; silver,unique
coll003,boston_2016.jpg,,,Boston Marathon,"ODonoghue, Ling ",2016,A silver pin obtained at the 2016 Boston Marathon for Mary O.'s 3rd race,Boston Marathon; race,"Boston, Massachusetts, USA",42.34977925,-71.07846523,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,silver,half oval
coll004,ecnu.jpg,,,East China Normal University 华师大,"ODonoghue, Ling ",2018,A gold pin obtained during an college study abroad trip,ecnu; China; study abroad,"Shanghai, China",31.22752937,121.4069899,,,Image;StillImage,image/jpeg,"eng, zh ",Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,gold; red ,oval 
coll005,four_corners.jpg,,,US Geographic Center,"ODonoghue, Ling ",2014,A silver pin obtained during Mount Rushmore trip with Becky T. ,compass; Mount Rushmore; center,"Belle Fourche, South Dakota, USA",44.67831881,-103.8515141,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,gold; silver,circle
coll006,great_wall.jpg,,,Great Wall of China,"ODonoghue, Ling ",2015,"An copper pin bought during Holt return trip, but created during the 2008 Olympics",Great Wall; olypmics; Holt trip; China,"Beijing, China",40.43187501,116.5704715,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,red; green; blue; copper,unique
coll007,in_state_fair.jpg,,,Indiana State Fair,"ODonoghue, Ling ",2009,A red and gray pin bought at the Indiana State Fair Midway,Indiana State Fair,"Indianapolis, Indiana, USA",39.82725833,-86.13637987,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,red; yellow; gray,unique
coll008,in_500.jpg,,,Indy 500,"ODonoghue, Ling ",2009,A silver pin obtained at the Indy 500 museum,race car; Indiana,"Indianapolis, Indiana, USA",39.79028575,-86.23359673,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,blue; red; white; silver,rhombus
coll009,los_alamos.jpg,,,Los Alamos,"ODonoghue, Ling ",2010,A red and black pin obtained during a trip to New Mexico with Candice W.,atom; New Mexico,"Los Alamos, New Mexico, USA",35.89051144,-106.2924473,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,gold; red; black,circle
coll010,louiseville_slugger.jpg,,,Louiseville Slugger Museum,"ODonoghue, Ling ",2006,A gold and black pin obtained during a trip to Louisville museum,baseball bat; Louiseville,"Louiseville, Kentucky, USA",38.2572451,-85.76394742,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,gold; red; black,unique
coll011,mamoth_cave.jpg,,,Mamoth Cave,"ODonoghue, Ling ",2008,A gold and brown pin obtained during the summer of spelunking,bat; cave; sliding,"Mammoth Cave, Kentucky, USA",37.18766224,-86.09980382,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,gold; brown; red; black,square
coll012,mt_rushmore.jpg,,,Mount Rushmore,"ODonoghue, Ling ",2014,A silver and blue pin obtained during Mount Rushmore trip,bald eagle; Mount Rushmore; President,"Keystone, South Dakota, USA",43.87893005,-103.4589221,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,silver; blue,square
coll013,new_york_apple.jpg,,,New York,"ODonoghue, Ling ",2014,A black and gold pin obtained during first trip to New York City,apple; New York,"New York, New York, USA",40.71548584,-74.00364626,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,gold; black; red; green,unique
coll014,peabody_hotel.jpg,,,Peabody Hotel,"ODonoghue, Ling ",2007,A blue and gold pin obtained at the Peabody Hotel,duck; flowers; hotel; sliding; Memphis,"Memphis, Tennesse, USA",35.14258487,-90.05196741,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,gold; red; blue; green; brown; pink; yellow,half oval
coll015,rocknroll_guitars.jpg,,,Rock and Rock Hall of Fame,"ODonoghue, Ling ",2014,A black and gold pin obtained during a Spring Break trip ,guitars; museum; rocknroll,"Cleveland, Ohio, USA",41.49211394,-81.6698304,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,black; gold,unique
coll016,ruby_falls.jpg,,,Ruby Falls,"ODonoghue, Ling ",2008,A black and gold pin obtained during the summer of spelunking,Ruby Falls; waterfall; cave,"Chattanooga, Tennesse, USA",35.01908394,-85.33936863,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,black; gold,circle
coll017,savannah.jpg,,,Savannah,"ODonoghue, Ling ",2001,"A silver pin obtained during one of many trips to Savannah, GA",ports; Savannah; buildings,"Savannah, Georgia, USA",32.06898251,-81.09623009,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,silver,oval
coll018,st_louis.jpg,,,St. Louis Arch,"ODonoghue, Ling ",2001,A silver pin obtained during my first trip to St. Louis,arch; St. Louis Arch,"St. Louis, Missouri, USA",38.62513738,-90.18674772,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,silver; blue,circle
coll019,the_wilds.jpg,,,The Wilds,"ODonoghue, Ling ",2018,A silver and green pin obtained during a summer wildlife animal preservation triip,rhino; lion; wildlife,"Cumberland, Ohio, USA",39.82952544,-81.73303965,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,silver; green,oval
coll020,tybee_island.jpg,,,Tybee Island,"ODonoghue, Ling ",2006,A white pin obtained during a family trip at the Tybee Island Lighthouse,light house,"Tybee Island, Georgia, USA",32.02218403,-80.84578131,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,white; black,oval
